Country,Type,Age Category,Capacity (MW),Capacity %
Argentina,Oil and gas,50+ years,2.106,4.845550605368258
Argentina,Utility-scale solar,0-9 years,1.612423,3.7099132211584536
Argentina,Utility-scale solar,10-19 years,0.02483,0.05712963985341589
Argentina,Utility-scale solar,20-29 years,0.0,0.0
Argentina,Utility-scale solar,30-39 years,0.0,0.0
Argentina,Utility-scale solar,40-49 years,0.0,0.0
Argentina,Utility-scale solar,50+ years,0.0,0.0
Argentina,Wind,0-9 years,4.1558,9.561794494676832
Argentina,Wind,10-19 years,0.18930000000000002,0.43554735498395597
Argentina,Wind,20-29 years,0.018,0.04141496243904494
Argentina,Wind,30-39 years,0.0,0.0
Argentina,Wind,40-49 years,0.0,0.0
Argentina,Wind,50+ years,0.0,0.0
Argentina,Hydropower,0-9 years,0.0,0.0
Argentina,Hydropower,10-19 years,0.125,0.287603905826701
Argentina,Hydropower,20-29 years,0.516,1.1872289232526216
Argentina,Hydropower,30-39 years,5.394,12.4106837442338
Argentina,Hydropower,40-49 years,3.799,8.740857905885097
Argentina,Hydropower,50+ years,2.316,5.328725167157115
Argentina,Nuclear,0-9 years,0.745,1.714119278727138
Argentina,Nuclear,10-19 years,0.0,0.0
Argentina,Nuclear,20-29 years,0.0,0.0
Argentina,Nuclear,30-39 years,0.0,0.0
Argentina,Nuclear,40-49 years,0.656,1.5093452977785269
Argentina,Nuclear,50+ years,0.362,0.8329009112741261
Argentina,Bioenergy,0-9 years,0.04,0.09203324986454431
Argentina,Bioenergy,10-19 years,0.122,0.28070141208686017
Argentina,Bioenergy,20-29 years,0.0,0.0
Argentina,Bioenergy,30-39 years,0.0,0.0
Argentina,Bioenergy,40-49 years,0.0,0.0
Argentina,Bioenergy,50+ years,0.0,0.0
Armenia,Oil and gas,0-9 years,0.254,9.723604624454483
Armenia,Oil and gas,10-19 years,0.673,25.763724064007356
Armenia,Oil and gas,20-29 years,0.0,0.0
Armenia,Oil and gas,30-39 years,0.0,0.0
Armenia,Oil and gas,40-49 years,0.0,0.0
Armenia,Oil and gas,50+ years,0.2,7.656381594058649
Armenia,Utility-scale solar,0-9 years,0.15519999999999998,5.941352116989511
Armenia,Utility-scale solar,10-19 years,0.0,0.0
Armenia,Utility-scale solar,20-29 years,0.0,0.0
Armenia,Utility-scale solar,30-39 years,0.0,0.0
Armenia,Utility-scale solar,40-49 years,0.0,0.0
Armenia,Utility-scale solar,50+ years,0.0,0.0
Armenia,Hydropower,0-9 years,0.0,0.0
Armenia,Hydropower,10-19 years,0.0,0.0
Armenia,Hydropower,20-29 years,0.0,0.0
Armenia,Hydropower,30-39 years,0.076,2.9094250057422864
Armenia,Hydropower,40-49 years,0.171,6.546206262920144
Armenia,Hydropower,50+ years,0.635,24.30901156113621
Armenia,Nuclear,0-9 years,0.0,0.0
Armenia,Nuclear,10-19 years,0.0,0.0
Armenia,Nuclear,20-29 years,0.0,0.0
Armenia,Nuclear,30-39 years,0.0,0.0
Armenia,Nuclear,40-49 years,0.448,17.15029477069137
Armenia,Nuclear,50+ years,0.0,0.0
Aruba,Oil and gas,0-9 years,0.102,73.17073170731707
Aruba,Oil and gas,10-19 years,0.0,0.0
Aruba,Oil and gas,20-29 years,0.0,0.0
Aruba,Oil and gas,30-39 years,0.0,0.0
Aruba,Oil and gas,40-49 years,0.0,0.0
Aruba,Oil and gas,50+ years,0.0,0.0
Aruba,Utility-scale solar,0-9 years,0.0074,5.308464849354376
Aruba,Utility-scale solar,10-19 years,0.0,0.0
Aruba,Utility-scale solar,20-29 years,0.0,0.0
Aruba,Utility-scale solar,30-39 years,0.0,0.0
Aruba,Utility-scale solar,40-49 years,0.0,0.0
Aruba,Utility-scale solar,50+ years,0.0,0.0
Aruba,Wind,0-9 years,0.0,0.0
Aruba,Wind,10-19 years,0.03,21.52080344332855
Aruba,Wind,20-29 years,0.0,0.0
Aruba,Wind,30-39 years,0.0,0.0
Aruba,Wind,40-49 years,0.0,0.0
Aruba,Wind,50+ years,0.0,0.0
Australia,Coal,0-9 years,0.0,0.0
Australia,Coal,10-19 years,1.33,1.8462188791871705
Australia,Coal,20-29 years,4.133,5.737159870436524
Australia,Coal,30-39 years,6.178,8.575894913998752
Australia,Coal,40-49 years,10.268,14.253365001123209
Australia,Coal,50+ years,0.72,0.9994568368532051
Australia,Oil and gas,0-9 years,1.2262,1.7021305185408335
Australia,Oil and gas,10-19 years,8.960600000000001,12.438517961537263
Australia,Oil and gas,20-29 years,4.0511,5.6234716552444715
Australia,Oil and gas,30-39 years,0.195,0.27068622664774306
Australia,Oil and gas,40-49 years,1.75,2.42923536735154
Australia,Oil and gas,50+ years,0.156,0.21654898131819444
Australia,Utility-scale solar,0-9 years,10.598019,14.711475759236345
Australia,Utility-scale solar,10-19 years,0.06611,0.09176957150606305
Australia,Utility-scale solar,20-29 years,0.0,0.0
Australia,Utility-scale solar,30-39 years,0.0,0.0
Australia,Utility-scale solar,40-49 years,0.0,0.0
Australia,Utility-scale solar,50+ years,0.0,0.0
Australia,Wind,0-9 years,10.051200000000001,13.952417442470743
Australia,Wind,10-19 years,3.654,5.072243447030016
Australia,Wind,20-29 years,0.49889999999999995,0.6925402998695334
Australia,Wind,30-39 years,0.0,0.0
Australia,Wind,40-49 years,0.0,0.0
Australia,Wind,50+ years,0.0,0.0
Australia,Hydropower,0-9 years,0.0,0.0
Australia,Hydropower,10-19 years,0.14,0.19433882938812322
Australia,Hydropower,20-29 years,0.0,0.0
Australia,Hydropower,30-39 years,0.481,0.6676926923977662
Australia,Hydropower,40-49 years,1.583,2.1974169065814215
Australia,Hydropower,50+ years,5.743,7.97205640839994
Australia,Bioenergy,0-9 years,0.0,0.0
Australia,Bioenergy,10-19 years,0.176,0.24431167123078346
Australia,Bioenergy,20-29 years,0.08,0.11105075965035613
Australia,Bioenergy,30-39 years,0.0,0.0
Australia,Bioenergy,40-49 years,0.0,0.0
Australia,Bioenergy,50+ years,0.0,0.0
Austria,Oil and gas,0-9 years,0.246,1.2682946345362611
Austria,Oil and gas,10-19 years,2.597,13.389273032075893
Austria,Oil and gas,20-29 years,1.379,7.109667890347576
Austria,Oil and gas,30-39 years,0.194,1.0001998337399782
Austria,Oil and gas,40-49 years,0.0,0.0
Austria,Oil and gas,50+ years,0.31,1.5982574662855322
Austria,Utility-scale solar,0-9 years,0.06612399999999999,0.34091347322795007
Austria,Utility-scale solar,10-19 years,0.0,0.0
Austria,Utility-scale solar,20-29 years,0.0,0.0
Austria,Utility-scale solar,30-39 years,0.0,0.0
Austria,Utility-scale solar,40-49 years,0.0,0.0
Austria,Utility-scale solar,50+ years,0.0,0.0
Austria,Wind,0-9 years,1.078,5.557811447276785
Austria,Wind,10-19 years,1.438,7.413852375866437
Austria,Wind,20-29 years,0.498,2.567523284549016
Austria,Wind,30-39 years,0.0,0.0
Austria,Wind,40-49 years,0.0,0.0
Austria,Wind,50+ years,0.0,0.0
Austria,Hydropower,0-9 years,0.899,4.634946652228043
Austria,Hydropower,10-19 years,1.145,5.903241286764304
Austria,Hydropower,20-29 years,0.172,0.8867751103261662
Austria,Hydropower,30-39 years,0.703,3.6244354799959
Austria,Hydropower,40-49 years,3.266,16.838415757704993
